Ponto;id;Fx;Fy;Tz;ux;uy;phi_z
S1;1;-2,8833084239125294e-12;-49769,99999995576;-2,7694113668985665e-10;-0,0;0,0;5,047727944779558e-06
S2;2;0,0;-4,656612873077393e-10;2,3283064365386963e-10;2,402757019927108e-23;9,798141613187965e-06;4,6110993826942615e-06
S3;3;4,0389678347315804e-28;9,313225746154785e-10;-4,94765117764473e-10;4,1190120341607563e-23;1,7961883245063317e-05;3,450699392038372e-06
S4 + F1;4;-8,077935669463161e-28;3,72710928786546e-09;2,473825588822365e-09;5,1487650427009457e-23;2,3267910609913445e-05;1,7907565442404697e-06
F2;5;1,0097419586828951e-28;-1,0803341865539551e-07;-1,6880221664905548e-08;5,470562857869756e-23;2,4899784491731816e-05;3,74290476755536e-07
S5;6;-7,699282434957075e-28;1,490070644649677e-08;-2,5029294192790985e-09;5,492016045547677e-23;2,496636656050342e-05;-1,0878630881197397e-07
F3;7;3,2311742677852644e-27;7,450580596923828e-09;-7,450580596923828e-09;5,406203294835995e-23;2,437136239513325e-05;-1,0810148790712596e-06
S6;8;-8,077935669463161e-28;-3,725290298461914e-09;-2,6775524020195007e-09;5,148765042700947e-23;2,2818946326170374e-05;-2,0094148779021467e-06
S7;9;0,0;1,862645149230957e-09;-4,94765117764473e-10;4,1190120341607575e-23;1,7186992770187196e-05;-3,5369005828430686e-06
S8;10;0,0;-1,3969838619232178e-09;-4,656612873077393e-10;2,4027570199271082e-23;9,088639232892822e-06;-4,438443430641909e-06
S9;11;-4,3249626358687935e-12;-79949,99999995972;0,0;-0,0;0,0;-4,489814849870089e-06
S10;12;-2,0194839173657902e-28;-2,3283064365386963e-10;-1,2823875294998288e-09;1,0297530085401885e-23;-8,661972547540174e-06;-4,228214840527229e-06
S11;13;-1,5146129380243427e-28;4,674802767112851e-10;2,7466739993542433e-10;1,373004011386918e-23;-1,706234507639463e-05;-4,190843402612943e-06
