"Temperature
(Boiling point)( º C)";Asolute pressure of vaporization (Bar);Density of water (kg/m3);"Specific enthalpy (kj/kg)
of liquid water";"Specific enthalpy  (kcal/kg)
of liquid water";"Specific heat (kj/kg K)
of liquid water";"Specific heat (kcal / kg K)
of liquid water2";Volume heat capacity (kj / m3);Volume heat capacity2 (kcal/m3);Dynamic viscosity (kg/ms)
100;1,013;958,05;419,06;100,09;4,194;1,007;4038,82;964,656;0,000282
101;1,05;957,33;423,28;101,1;4,195;1,007;4036,92;964,201;0,000279
102;1,088;956,6;427,5;102,11;4,196;1,007;4035,01;963,747;0,000276
103;1,127;955,87;431,73;103,12;4,197;1,008;4033,12;963,293;0,000273
104;1,167;955,13;435,95;104,12;4,198;1,008;4031,22;962,841;0,000271
105;1,208;954,39;440,17;105,13;4,199;1,008;4029,33;962,39;0,000268
106;1,25;953,65;444,4;106,14;4,2;1,009;4027,45;961,94;0,000265
107;1,294;952,9;448,63;107,15;4,201;1,009;4025,57;961,491;0,000263
108;1,339;952,14;452,85;108,16;4,202;1,009;4023,69;961,043;0,00026
109;1,385;951,38;457,08;109,17;4,203;1,01;4021,82;960,596;0,000257
110;1,433;950,62;461,32;110,18;4,204;1,01;4019,96;960,15;0,000255
111;1,481;949,85;465,55;111,19;4,205;1,01;4018,1;959,706;0,000252
112;1,532;949,08;469,78;112,21;4,206;1,011;4016,24;959,263;0,00025
113;1,583;948,31;474,02;113,22;4,207;1,011;4014,39;958,822;0,000248
114;1,636;947,53;478,26;114,23;4,209;1,011;4012,55;958,382;0,000245
115;1,691;946,74;482,5;115,24;4,21;1,012;4010,72;957,943;0,000243
116;1,746;945,95;486,74;116,26;4,211;1,012;4008,88;957,506;0,000241
117;1,804;945,16;490,98;117,27;4,212;1,013;4007,06;957,07;0,000239
118;1,863;944,37;495,23;118,28;4,214;1,013;4005,24;956,636;0,000236
119;1,923;943,57;499,47;119,3;4,215;1,013;4003,43;956,203;0,000234
120;1,985;942,76;503,72;120,31;4,216;1,014;4001,63;955,772;0,000232
121;2,049;941,95;507,97;121,33;4,217;1,014;3999,83;955,342;0,00023
122;2,114;941,14;512,22;122,34;4,219;1,015;3998,04;954,914;0,000228
123;2,182;940,32;516,47;123,36;4,22;1,015;3996,25;954,488;0,000226
124;2,25;939,5;520,73;124,37;4,222;1,016;3994,47;954,063;0,000224
125;2,321;938,67;524,99;125,39;4,223;1,016;3992,7;953,641;0,000222
126;2,393;937,84;529,25;126,41;4,225;1,016;3990,94;953,219;0,00022
127;2,467;937,01;533,51;127,43;4,226;1,017;3989,18;952,8;0,000218
128;2,543;936,17;537,77;128,44;4,228;1,017;3987,43;952,382;0,000216
129;2,621;935,33;542,04;129,46;4,229;1,018;3985,69;951,966;0,000214
130;2,701;934,48;546,31;130,48;4,231;1,018;3983,96;951,552;0,000213
131;2,783;933,63;550,58;131,5;4,232;1,019;3982,23;951,139;0,000211
132;2,867;932,78;554,85;132,52;4,234;1,019;3980,51;950,729;0,000209
133;2,953;931,92;559,12;133,54;4,235;1,02;3978,8;950,32;0,000207
134;3,041;931,06;563,4;134,57;4,237;1,02;3977,1;949,913;0,000206
135;3,131;930,19;567,68;135,59;4,239;1,021;3975,4;949,508;0,000204
136;3,223;929,32;571,96;136,61;4,24;1,021;3973,71;949,105;0,000202
137;3,317;928,44;576,24;137,63;4,242;1,022;3972,03;948,704;0,000201
138;3,414;927,56;580,53;138,66;4,244;1,022;3970,36;948,304;0,000199
139;3,512;926,68;584,81;139,68;4,246;1,023;3968,7;947,907;0,000198
140;3,614;925,79;589,1;140,71;4,247;1,023;3967,04;947,511;0,000196
141;3,717;924,9;593,4;141,73;4,249;1,024;3965,39;947,117;0,000195
142;3,823;924,01;597,69;142,76;4,251;1,025;3963,75;946,726;0,000193
143;3,931;923,11;601,99;143,78;4,253;1,025;3962,12;946,336;0,000192
144;4,042;922,2;606,29;144,81;4,255;1,026;3960,5;945,949;0,00019
145;4,155;921,29;610,59;145,84;4,256;1,026;3958,88;945,563;0,000189
146;4,271;920,38;614,9;146,87;4,258;1,027;3957,28;945,179;0,000187
147;4,389;919,46;619,21;147,9;4,26;1,028;3955,68;944,798;0,000186
148;4,51;918,54;623,52;148,93;4,262;1,028;3954,09;944,419;0,000185
149;4,633;917,62;627,83;149,96;4,264;1,029;3952,51;944,041;0,000183
150;4,76;916,69;632,15;150,99;4,266;1,029;3950,94;943,666;0,000182
151;4,889;915,76;636,47;152,02;4,268;1,03;3949,38;943,293;0,000181
